,Living_Area,marker_graph,face_color_marker,edge_color_graph,Living_Area_per_Capita,"Climate change, short term-combined-m2",Freshwater ecotoxicity-combined-m2,Terrestrial acidification-combined-m2,"Land occupation, biodiversity-combined-m2",Human toxicity non-cancer-combined-m2,Particulate matter formation-combined-m2,"Climate change, short term-combined-cap",Freshwater ecotoxicity-combined-cap,Terrestrial acidification-combined-cap,"Land occupation, biodiversity-combined-cap",Human toxicity non-cancer-combined-cap,Particulate matter formation-combined-cap
16138,165.0,+,orange,none,161.375,13.171716797749168,14892.141057873005,0.1475315746585211,10.346576625755247,1.166285664517445e-05,0.0877769308970039,2124.075431376629,2401143.140110874,23.784567477920827,1669.875148637376,0.001879750695641,14.166006548305958
16139,91.0,v,none,yellowgreen,52.233950617283945,29.465360410519256,11898.34459336614,0.1278352025366129,1.2949402094270726,1.13080837152388e-05,0.0142516171356848,1531.7019752219203,617558.6045317133,6.63482150245664,67.20102899899359,0.0005868034071993,0.7396710850971003
16140,251.0,s,none,orangered,256.0,73.43266447966191,13318.590776492216,0.1983205169508241,1.3579507533009862,1.1731863114037485e-05,0.0210179414793904,18757.35807908821,3398241.2507711565,50.619247399152265,346.41863791834936,0.0029926995014871,5.3643222196060485
16141,1404.0,x,gold,none,121.0909090909091,7.74796613922,8830.060864894784,0.0885036374151931,2.9110394144557588,7.224755876783689e-06,0.01124704537994,937.9201669456568,1068711.5045610487,10.71028479622814,352.67339491793376,0.0008740651294559,1.361330890848331
16142,520.0,x,orangered,none,28.15864197530864,11.935389472171666,13136.407091635883,0.1284019976868819,5.138593833139877,9.923164971528716e-06,0.0169397064774833,335.93711376572685,369745.0937613591,3.614106031640151,144.62713334631007,0.0002793101939763,0.476793270733891
16143,13196.0,x,gold,none,31.59259259259259,9.54402439089611,11123.776405709308,0.1132227404294817,3.239240298088676,9.538551378358713e-06,0.0140586380994911,301.4956836123385,351404.82074122294,3.5767871912342954,102.32087424418668,0.000301335163622,0.4441162662077597
16144,153.0,x,gold,none,51.18115942028986,10.949829151048478,12915.305463752991,0.1325060782157066,3.501465512000732,1.1339758351187484e-05,0.0162561711933962,560.3696922488854,660965.6290663752,6.781324803285651,179.1766499189687,0.000580351936169,0.8319363468019785
16145,181.0,x,firebrick,none,86.296875,13.432242077945626,14358.49473644352,0.1372613219949236,6.380418640404218,1.0066303478522704e-05,0.0187118616277011,1158.097841474816,1238094.1955055606,11.836695572136962,549.9131280239076,0.0008682486534626,1.6134082187475745
16146,170.0,x,orange,none,48.204301075268816,11.16052177211355,12588.811250069535,0.1252639155920205,4.376328125288332,1.0069229802146668e-05,0.0160927504324358,537.9361403057155,606791.8856977177,6.037919232105769,210.92131640921008,0.0004853678676284,0.7756793205215876
16147,160.0,x,orangered,none,39.016129032258064,11.469491038815807,12539.651615629416,0.1219598021607388,5.0559362477966765,9.318396870596e-06,0.0162089165453857,447.3609242321015,489075.6519565485,4.756524791526074,197.2407899700481,0.0003633907087903,0.632197741239671
