,mean_embodied,mean_heating
0,49.45185472820907,50.54814527179092
1,48.66289825778768,51.33710174221232
2,44.441756937603586,55.55824306239639
3,76.78575740775611,23.21424259224389
4,72.33884652755808,27.661153472441907
5,55.77759742727625,44.222402572723716
6,82.40755883891036,17.592441161089624
7,88.50277349080422,11.497226509195789
8,51.051285529445764,48.948714470554236
9,44.67208677966704,55.32791322033294
10,24.605228607770723,75.39477139222926
11,50.485559810981194,49.51444018901881
12,95.48572672095311,4.514273279046871
13,39.69914983717088,60.3008501628291
14,66.63554500266045,33.36445499733956
15,51.86824255969865,48.13175744030135
16,74.96163771313043,25.038362286869546
17,62.42189946070841,37.57810053929156
