,Living_Area,marker_graph,face_color_marker,edge_color_graph,Living_Area_per_Capita,"Climate change, short term-combined-m2",Freshwater ecotoxicity-combined-m2,Terrestrial acidification-combined-m2,"Land occupation, biodiversity-combined-m2",Human toxicity non-cancer-combined-m2,Particulate matter formation-combined-m2,"Climate change, short term-combined-cap",Freshwater ecotoxicity-combined-cap,Terrestrial acidification-combined-cap,"Land occupation, biodiversity-combined-cap",Human toxicity non-cancer-combined-cap,Particulate matter formation-combined-cap
8069,1563.0,x,yellowgreen,none,89.0,8.2922674106,9853.151136945587,0.1015798954665802,2.549925610343697,8.775098895295344e-06,0.0123707322299396,737.9251790415262,876788.8024458045,9.0388901779634,226.97112269622585,0.0007807918805158,1.1008338741516586
8070,180.0,v,none,gold,60.29924242424242,35.707646539929094,11526.38945708047,0.1232438996647911,1.22378236331201,1.059419542299906e-05,0.0137176495309947,2152.689800820197,694882.3025829782,7.429906333671844,73.77714900229907,0.0006386832952418,0.8269849227460369
8071,86.0,x,limegreen,none,93.5752688172043,9.979693714921613,12405.860421925325,0.1315767872314932,2.2997439055078392,1.1978683383965335e-05,0.0153416637842436,931.8622597038132,1158369.953913113,12.28545150211907,214.7933918278214,0.0011184221053822,1.432509521164396
8072,194.0,+,orange,none,62.570238095238096,11.880429284309768,13238.643293120347,0.1296944060988217,10.058564434163172,9.991366668235054e-06,0.0849861183626206,742.7771385062097,827625.2226485421,8.107431714044393,629.130783899,0.0006244829009732,5.315493015253657
8073,135.0,v,none,gold,65.34848484848486,36.49003992832909,11202.843892269071,0.1196361968292049,1.1817879737863273,1.0207029334867564e-05,0.013310559546953,2383.464607153876,731238.2489997932,7.808821863966003,77.13118460322131,0.0006661550501386,0.8687936602044778
8074,1437.0,x,limegreen,none,85.46794871794872,5.13098961289,6061.033855782173,0.06224507755582,1.6280595866232066,5.337112090743269e-06,0.0076249797866527,437.27282382901103,516604.8616952017,5.305869437183475,138.6454406833134,0.0004550250672818,0.6498749995440462
8075,123.0,x,orange,none,123.74242424242424,12.296800345618031,14104.515259662468,0.1420022558850596,4.493271561904791,1.1700261896551702e-05,0.0179249945169688,1521.104350464671,1744527.7722192588,17.562338877007903,556.0801601692688,0.0014468224868065,2.2171505466271277
8076,162.0,v,none,gold,40.73301587301587,32.27873746008267,6615.817580216197,0.0697596552292526,0.6519540040795271,5.487942611285334e-06,0.0077280462945679,1314.6092803965746,269462.0253361742,2.841316910683667,26.55450381749513,0.0002235288778864,0.3147643298979952
8077,140.0,x,orange,none,70.05319148936171,11.692912929461809,13313.692822373432,0.1333570627153432,4.410456675480405,1.0871529626054884e-05,0.0169634153877656,819.1174990418759,932644.7013887886,9.341780526525731,308.98088126871727,0.0007615453527195,1.188318940343652
8078,123.0,v,none,gold,41.3875,33.19440959933667,7627.856318937248,0.0807650694981153,0.768909319295391,6.529795613481277e-06,0.0089598863138377,1372.750280204812,313990.1937884428,3.324055471269113,31.623907161824565,0.0002684706674045,0.3687429922313689
