,KOM,median_Living_Area_per_Capita,"Climate change, short term-combined-cap",Particulate matter formation-combined-cap,Energy Consumption from Regressions (kWh/m2)
0,101,42.0,453.9068533164062,0.6652625497946314,100.05542762526906
1,147,50.0,532.1901586296,0.7822921022180542,99.68013669346524
2,151,41.0,1614.628545483365,0.6007377806766823,118.71239028750854
3,153,40.333333333333336,683.7989599255,0.6271418843868332,117.2393371144514
4,155,47.5,1906.4478731396,0.705613334764571,115.78966573779198
5,157,49.5,1517.0289641426853,0.7794999371103328,150.20939682256753
6,159,40.0,1488.33012428424,0.6064633129328907,151.00057743284455
7,161,42.0,1365.3021210038798,0.6570575463367317,117.43701957490497
8,163,41.0,1594.1370813773867,0.6105311730621006,152.84962874675043
9,165,35.333333333333336,375.024420843905,0.5290528696827884,114.8359345689371
10,167,38.75,1487.9677520341804,0.5926335503592097,153.4881964679482
11,169,41.5,634.12858121728,0.6830715258454982,116.85560057357095
12,173,41.0,1629.79488199968,0.621731308631827,139.63526796621477
13,175,39.125,1456.7554611045414,0.5860478784135367,153.93924827101645
14,183,37.75,1235.33801343459,0.5964897198980821,114.39575095254254
15,185,40.25,1632.0683799917465,0.5974795624457987,154.65759003145848
16,187,40.0,1028.096024444359,0.6112313939384117,113.07866611608638
17,190,45.66666666666666,1318.8198761472,0.6948792382546136,112.95827633025408
18,201,46.5,1657.8642464272798,0.6827252984505057,112.83975305272922
19,210,50.0,1625.74155809064,0.826535138625711,114.39575095254254
20,217,50.0,1596.4123481856402,0.8161446108721349,142.77229908596328
21,219,48.66666666666666,753.5630227699851,0.8243515111409605,115.14249101606904
22,223,56.29166666666667,2016.0489155010664,0.8342075221320615,115.9590198705793
23,230,51.4,2038.2047255232003,0.7895611084601374,147.27213880691397
24,240,45.66666666666666,1543.98334376072,0.7099717562346152,114.39575095254254
25,250,55.0,1504.3561463274666,0.8997222783951877,124.85011184191332
26,253,47.0,1631.191727424,0.7107588029211729,113.32522439747098
27,259,50.66666666666666,1694.1447812661,0.8430283301385776,117.2393371144514
28,260,53.0,1086.3624582888751,1.0472077436907314,156.12281693355212
29,265,47.0,887.7290267969199,0.7637767808653323,114.25399690658496
30,269,47.5,1291.721176277,0.728618772121776,111.85034134469576
31,270,59.0,1709.4962628831,1.2117380829192226,151.60369731167356
32,306,63.333333333333336,1830.05041213664,1.324252103089956,157.65322801117412
33,316,54.333333333333336,1982.7757861484,0.9812250190308084,152.64623310222083
34,320,58.5,1603.81595529856,1.1028995103834072,151.00057743284455
35,326,61.75,1129.1934323448502,1.3135697152356698,157.65322801117412
36,329,52.5,1179.421161183,0.9646487386191652,146.74775941086097
37,330,55.66666666666666,1594.6714715305998,0.9903489134467424,150.5165610594986
38,336,59.4,2141.842847074,1.159558548047888,151.96861017953648
39,340,58.333333333333336,1879.51525396326,1.187517909815459,157.0157326381509
40,350,52.0,1825.58460537832,1.015478050393552,149.3549217634683
41,360,67.0,1277.623331280925,1.3909290234807368,167.1280029927319
42,370,56.0,1476.4966671189,0.987715120811988,143.11875291109513
43,376,62.5,1017.9886862164502,1.2502615798874648,161.69733928379023
44,390,63.0,1908.7601666068,1.3565753057321963,162.15756502183615
